,Name,P.CH3 (wt%),P.CH2 (wt%),P.CH (wt%),Olef (wt%),Naph (wt%),Arom (wt%),OH (wt%),O (wt%),Mol Wt,B.I,DCN
130,TPRF 70-20,45.854698305140374,22.40939440236805,6.095265468366495,0.0,0.0,20.014242930248315,0.0,0.0,104.69530179669029,0.5666582721004081,26.25
131,TPRF 70-30,41.54362721475396,19.14011025531212,5.206033282523834,0.0,0.0,29.304660063541935,0.0,0.0,102.62921408962627,0.6371821581260741,23.68
132,TPRF 70-40,37.433594345261035,16.023282668294147,4.358268670018503,0.0,0.0,38.16183708256308,0.0,0.0,100.73400225192816,0.7018733632377138,19.94
133,TPRF 80-10,53.508903890732135,20.811348305863426,8.024867061511461,0.0,0.0,10.247311146651617,0.0,0.0,108.19877145469131,0.5447380137678038,25.37
134,TPRF 80-20,48.57072080037323,18.049045535390515,6.959721632637709,0.0,0.0,19.99615360147142,0.0,0.0,105.72787350331129,0.6141819164902256,22.84
135,TPRF 80-30,43.86704626016734,15.417921298790105,5.945158716736181,0.0,0.0,29.282034908857582,0.0,0.0,103.47702385973156,0.6774414224541409,19.75
136,TPRF 80-40,39.381562910373006,12.908848051134047,4.977658727590268,0.0,0.0,38.13716840851167,0.0,0.0,101.41808068793927,0.7353074501681074,16.49
137,TPRF 90-10,56.62936923357003,15.79057087612534,9.018576755434674,0.0,0.0,10.236643052930257,0.0,0.0,109.46759636339978,0.6011800792559654,21.06
138,TPRF 90-20,51.281838122983544,13.696571516255643,7.822616577619376,0.0,0.0,19.97809694226204,0.0,0.0,106.77909494955526,0.662563906686072,18.31
139,TPRF 90-30,46.186880404018396,11.701475465116253,6.683143723039448,0.0,0.0,29.259444663481794,0.0,0.0,104.33761667733293,0.7183077051325615,15.59
140,XO 10,61.11586552592376,15.958495363913606,10.291617680677284,3.1340666473217267,0.0,0.0,0.0,0.0,110.16377110270905,0.523275422054181,21.02
141,XO 11,56.41626541626909,19.65674277046537,9.173542883347677,6.285563191443083,0.0,0.0,0.0,0.0,106.55803071536491,0.4511606143072979,21.17
